Activo,gamma_CRRA,vol_hist,gamma_FTP,gamma_GARCH
TRM,,0.9241708815077012,,
TPM,,0.014707237145811286,,
IBR,,0.01748139676369559,,
DTB3,,0.1272023120504607,,
Datos históricos de Organizacion Terpel SA (TPL),,0.019170514679060634,,
Datos históricos de Celsia (CEL),,0.017759265344069873,,
Datos históricos de Nutresa (NCH),,0.03333826723018819,,
Datos históricos de Cemargos (CCB),,0.021862532672985695,,
Datos históricos de Grupo Argos (ARG),,0.024054147742479822,,
Datos históricos de Bancolombia Pf (BIC_p1),,0.01761490063544508,,
Datos históricos de Ecopetrol (EC),,0.022540564735509822,,
Datos históricos de Interconnection Electric (ISA),,0.022752541907234813,,
Datos históricos de Suramericana (SIS),,0.028825765407905258,,
Datos históricos de Grupo Energia Bogota (GEB),,0.01863388939898468,,
