Activo,ADF_p,ARCH_LM_p,Ljung_resid_p,Ljung_resid2_p,JarqueBera_p,alpha+beta,Modelo
TRM,0.0,0.0012,0.0,0.0112,0.0,1.0,"GARCH(1,1)"
Datos históricos de Organizacion Terpel SA,0.0,0.8366,0.0374,0.9897,0.0,0.428,"GARCH(1,1)"
Datos históricos de Celsia,0.0,0.6855,0.1346,0.9044,0.0,0.9773,"GARCH(1,1)"
Datos históricos de Nutresa,0.0,1.0,0.6879,0.9996,0.0,1.0,"GARCH(1,1)"
Datos históricos de Cemargos,0.0,0.9996,0.9698,1.0,0.0,0.966,"GARCH(1,1)"
Datos históricos de Grupo Argos,0.0,1.0,0.9365,1.0,0.0,0.9888,"GARCH(1,1)"
Datos históricos de Bancolombia Pf,0.0,0.6046,0.9495,0.8546,0.0,0.8486,"GARCH(1,1)"
Datos históricos de Ecopetrol,0.0,0.1337,0.3814,0.1487,0.0,0.969,"GARCH(1,1)"
Datos históricos de Interconnection Electric,0.0,0.2441,0.6654,0.002,0.0,0.959,"GARCH(1,1)"
Datos históricos de Suramericana,0.0,0.948,0.9028,0.9729,0.0,1.0,"GARCH(1,1)"
Datos históricos de Grupo Energia Bogota,0.0,0.8296,0.0183,0.1585,0.0,0.9896,"GARCH(1,1)"
